Product_ID,Product_Name,Category,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status
57-437-1828,Plum,Fruits & Vegetables,54-226-4308,Topicstorm,37,30,74,$4.00 ,7/3/2024,10/11/2024,10/5/2024,15068 Scoville Court,62,25,Backordered
39-629-5554,Egg (Goose),Dairy,67-679-4930,Muxo,44,90,17,$2.50 ,2/3/2025,4/9/2024,2/5/2025,267 International Plaza,21,91,Discontinued
66-268-8345,Greek Yogurt,Dairy,32-182-1895,Thoughtstorm,91,84,11,$3.00 ,12/4/2024,6/2/2024,1/8/2025,550 Clemons Plaza,56,90,Active
46-452-9419,Egg (Duck),Dairy,67-137-4215,Wordify,43,10,15,$1.00 ,11/18/2024,11/14/2024,7/8/2024,55782 Welch Hill,27,69,Active
11-073-0189,Plum,Fruits & Vegetables,75-190-3627,Voomm,95,50,76,$4.00 ,4/5/2024,9/21/2024,5/6/2024,5104 Jana Court,69,5,Active
22-621-2774,Strawberries,Fruits & Vegetables,70-901-6191,Babblestorm,54,26,16,$6.00 ,3/11/2024,6/30/2024,6/14/2024,00 Drewry Court,63,97,Active
39-449-0772,Feta Cheese,Dairy,84-504-7617,Youfeed,94,13,15,$7.00 ,2/27/2024,4/2/2024,10/5/2024,195 Portage Junction,20,24,Backordered
82-041-7211,Swiss Cheese,Dairy,03-615-0558,Reallinks,49,49,26,$8.00 ,9/10/2024,5/19/2024,7/1/2024,285 1st Park,78,61,Discontinued
25-349-7974,Spinach,Fruits & Vegetables,82-737-6019,Devshare,72,70,99,$2.50 ,10/7/2024,5/28/2024,6/22/2024,42 Bunker Hill Junction,82,32,Discontinued
66-627-9752,Trout,Seafood,87-839-6400,Jabbertype,49,73,48,$12.00 ,8/17/2024,10/1/2024,9/3/2024,08 Randy Junction,52,62,Active
78-614-4402,Green Beans,Fruits & Vegetables,51-014-4287,Gigazoom,81,99,28,$2.00 ,9/30/2024,2/14/2025,4/25/2024,37 Browning Trail,20,85,Discontinued
67-025-1245,Cabbage,Fruits & Vegetables,28-575-0716,Chatterbridge,88,46,55,$1.00 ,4/9/2024,3/6/2024,8/12/2024,51890 Lindbergh Terrace,73,63,Active
68-418-6724,Parmesan Cheese,Dairy,75-465-6257,Feedspan,63,4,85,$12.00 ,12/21/2024,1/13/2025,9/30/2024,49869 Bunker Hill Terrace,59,71,Active
02-508-3777,Egg (Quail),Dairy,69-933-2582,Realpoint,97,88,81,$0.80 ,11/5/2024,7/7/2024,6/26/2024,895 Northland Hill,97,18,Discontinued
79-741-0770,Mushrooms,Fruits & Vegetables,67-771-7656,Photospace,72,87,39,$6.00 ,6/24/2024,2/24/2025,3/17/2024,91 Kinsman Terrace,94,57,Active
16-499-5059,Pear,Fruits & Vegetables,09-090-6360,Centizu,77,20,5,$4.50 ,8/18/2024,11/19/2024,12/20/2024,3 Hooker Way,61,62,Discontinued
76-340-4432,Cucumber,Fruits & Vegetables,79-915-4185,Brainverse,19,36,72,$1.75 ,5/3/2024,3/28/2024,3/6/2024,157 David Center,31,81,Backordered
38-732-7667,Pineapple,Fruits & Vegetables,88-663-3393,Photojam,18,52,22,$3.50 ,8/23/2024,10/13/2024,9/28/2024,3645 Ridge Oak Drive,42,32,Backordered
73-401-5721,Haddock,Seafood,38-622-5251,Midel,46,28,73,$9.00 ,5/28/2024,10/28/2024,12/26/2024,582 Sauthoff Crossing,65,57,Discontinued
91-848-0606,Onion,Fruits & Vegetables,68-836-0350,Skyble,39,22,73,$2.00 ,6/11/2024,7/23/2024,10/28/2024,13 Corscot Hill,60,2,Active
70-612-2531,Pineapple,Fruits & Vegetables,94-217-4781,Flipbug,48,48,39,$3.45 ,3/17/2024,1/25/2025,10/30/2024,4 Raven Drive,51,50,Discontinued
26-161-6692,Zucchini,Fruits & Vegetables,61-796-7912,Kare,61,90,26,$2.50 ,12/22/2024,9/7/2024,9/19/2024,70001 Vahlen Lane,79,84,Discontinued
11-316-8405,Mango,Fruits & Vegetables,50-918-1373,Twitternation,24,55,51,$5.00 ,4/26/2024,2/24/2025,11/25/2024,108 Morning Center,39,15,Discontinued
34-086-3222,Lemon,Fruits & Vegetables,34-017-9457,Layo,12,7,48,$2.30 ,6/24/2024,12/25/2024,6/5/2024,867 Merrick Place,66,4,Discontinued
43-693-2092,Butter,Dairy,19-469-9841,Kayveo,51,100,70,$3.00 ,4/30/2024,10/21/2024,9/22/2024,76 Toban Plaza,40,21,Discontinued
52-481-5224,Kiwi,Fruits & Vegetables,46-382-2024,Fiveclub,45,24,61,$6.00 ,1/21/2025,2/7/2025,2/15/2025,80 Old Shore Plaza,44,34,Backordered
11-325-7396,Mango,Fruits & Vegetables,98-940-7545,Skipfire,92,46,13,$5.00 ,7/28/2024,10/18/2024,3/26/2024,387 Jay Point,24,75,Discontinued
91-105-7317,Orange,Fruits & Vegetables,84-047-0017,Devshare,85,45,71,$3.00 ,3/20/2024,12/28/2024,2/2/2025,44022 Barnett Way,95,72,Discontinued
40-751-8635,Pineapple,Fruits & Vegetables,48-878-3021,Yamia,44,80,84,$3.40 ,8/30/2024,10/17/2024,3/5/2024,3 Ronald Regan Center,96,68,Discontinued
68-761-6907,Zucchini,Fruits & Vegetables,31-199-3683,Brainverse,26,18,62,$2.50 ,7/28/2024,7/21/2024,2/2/2025,9695 Alpine Trail,57,86,Discontinued
27-635-8394,Orange,Fruits & Vegetables,87-893-6089,Twitterwire,88,37,61,$2.90 ,2/3/2025,11/13/2024,3/19/2024,812 Shelley Circle,63,35,Discontinued
41-729-5410,Sardines,Seafood,71-727-8611,Ntag,91,59,49,$6.00 ,10/23/2024,4/5/2024,6/26/2024,7193 Crownhardt Drive,30,63,Active
11-581-9869,Carrot,Fruits & Vegetables,22-867-3079,Avaveo,51,60,98,$1.50 ,5/1/2024,12/12/2024,9/26/2024,44801 Myrtle Center,44,95,Discontinued
75-152-8731,Pear,Fruits & Vegetables,05-593-1927,Voonix,82,65,69,$4.45 ,4/11/2024,11/12/2024,8/8/2024,622 Anthes Lane,30,78,Backordered
55-697-5242,Ricotta Cheese,Dairy,74-726-0855,Shufflebeat,51,53,88,$6.00 ,1/31/2025,6/30/2024,9/24/2024,19112 Little Fleur Road,54,59,Discontinued
66-993-4234,Cucumber,Fruits & Vegetables,15-852-0491,Gigazoom,13,60,100,$1.80 ,7/18/2024,1/16/2025,6/24/2024,22 Dexter Trail,44,32,Backordered
87-762-1317,Mozzarella Cheese,Dairy,58-474-3510,Dazzlesphere,45,63,75,$7.00 ,1/28/2025,11/20/2024,2/9/2025,9305 Warrior Way,83,5,Discontinued
81-844-2979,Broccoli,Fruits & Vegetables,02-575-7332,Realblab,73,87,46,$4.00 ,9/24/2024,1/15/2025,5/11/2024,16 Elgar Point,47,67,Discontinued
44-408-7594,Eggplant,Fruits & Vegetables,08-828-3804,Eire,39,21,5,$3.00 ,11/24/2024,5/1/2024,1/8/2025,81 Oneill Circle,51,98,Backordered
26-010-9519,Trout,Seafood,28-837-4164,Blogtag,29,72,96,$12.00 ,5/3/2024,11/26/2024,1/9/2025,4508 Shopko Trail,85,52,Active
65-464-5070,Heavy Cream,Dairy,01-517-7793,Ntags,12,60,73,$4.00 ,2/3/2025,3/16/2024,9/1/2024,00 Luster Alley,20,35,Discontinued
07-970-9352,Bell Pepper,Fruits & Vegetables,14-724-4622,Tagtune,96,33,72,$4.45 ,3/10/2024,5/16/2024,7/12/2024,459 Gateway Pass,74,100,Active
88-746-9468,Onion,Fruits & Vegetables,06-159-1957,Skiba,35,92,74,$2.00 ,11/25/2024,2/3/2025,11/14/2024,82737 Ryan Place,76,32,Active
06-336-5482,Sardines,Seafood,99-784-4391,Voolia,89,34,15,$6.00 ,12/31/2024,3/8/2024,8/24/2024,7 Mockingbird Hill,60,2,Discontinued
03-276-3931,Mango,Fruits & Vegetables,42-224-8186,Oyoloo,60,36,28,$4.50 ,6/30/2024,9/18/2024,12/20/2024,081 Bellgrove Place,26,29,Active
12-239-9399,Potato,Fruits & Vegetables,53-584-1853,Tagtune,28,40,27,$1.20 ,12/14/2024,7/29/2024,10/27/2024,924 La Follette Alley,30,56,Active
11-032-9778,Peas,Fruits & Vegetables,42-380-8881,Edgepulse,99,1,4,$3.00 ,12/13/2024,1/27/2025,8/19/2024,553 Mayfield Crossing,50,53,Backordered
54-374-9986,Cream,Dairy,33-818-4917,Oyondu,92,52,80,$2.50 ,6/3/2024,10/22/2024,3/21/2024,74997 Katie Terrace,72,96,Discontinued
77-312-6317,Spinach,Fruits & Vegetables,12-950-4397,Abatz,41,29,76,$2.40 ,2/26/2024,9/13/2024,10/1/2024,3616 Carey Pass,59,4,Discontinued
13-844-2178,Sardines,Seafood,66-832-1802,Browsetype,44,67,48,$6.00 ,9/5/2024,9/21/2024,3/24/2024,86207 Tennyson Parkway,90,11,Active
26-177-5690,Cucumber,Fruits & Vegetables,06-708-1412,Skinte,85,33,50,$1.80 ,3/6/2024,7/15/2024,1/21/2025,61707 Mariners Cove Park,64,38,Discontinued
70-871-4536,Swiss Cheese,Dairy,72-514-7323,Cogilith,29,4,17,$8.00 ,1/19/2025,11/13/2024,6/17/2024,5 Waxwing Junction,59,52,Active
89-543-3456,Blueberries,Fruits & Vegetables,23-178-8962,Jaloo,66,40,96,$10.00 ,2/28/2024,6/22/2024,2/6/2025,22782 Oriole Way,24,61,Active
14-305-5348,Cheese,Dairy,71-092-6845,Shuffledrive,53,63,2,$9.00 ,8/2/2024,10/12/2024,3/20/2024,19 Shoshone Circle,56,95,Active
25-010-9478,Eggplant,Fruits & Vegetables,24-576-3402,Topicblab,74,30,24,$3.00 ,8/9/2024,10/13/2024,7/31/2024,357 Maple Park,82,12,Active
13-202-4809,Garlic,Fruits & Vegetables,24-281-7685,Katz,27,22,89,$7.00 ,5/1/2024,7/28/2024,5/20/2024,6195 Monterey Center,91,77,Discontinued
80-988-4653,Zucchini,Fruits & Vegetables,02-272-0535,Livetube,43,66,85,$2.50 ,4/20/2024,9/14/2024,4/19/2024,8 Russell Pass,66,65,Discontinued
34-861-4446,Ricotta Cheese,Dairy,40-696-4237,Photobug,66,40,8,$6.00 ,11/27/2024,1/18/2025,1/6/2025,113 Donald Court,43,49,Active
49-891-4927,Cottage Cheese,Dairy,89-155-3471,Midel,37,5,1,$5.00 ,1/2/2025,2/26/2024,11/28/2024,46 Hoffman Trail,68,99,Active
55-522-8242,Whipped Cream,Dairy,48-884-5431,Feedbug,29,36,40,$4.00 ,11/8/2024,3/30/2024,9/7/2024,7 Spohn Avenue,60,96,Backordered
64-478-4745,Lemon,Fruits & Vegetables,36-780-8625,Mydo,63,81,94,$2.50 ,6/4/2024,4/20/2024,11/19/2024,208 Miller Court,56,2,Active
35-835-5591,Tilapia,Seafood,54-876-4296,Fiveclub,95,63,73,$7.00 ,11/17/2024,6/5/2024,3/8/2024,509 Carpenter Trail,61,38,Backordered
26-690-3784,Lettuce,Fruits & Vegetables,70-463-6597,Fadeo,58,5,1,$2.00 ,10/2/2024,10/14/2024,4/6/2024,19069 Cordelia Drive,53,80,Active
67-625-9704,Sardines,Seafood,13-475-1009,Eayo,33,18,92,$6.00 ,6/3/2024,9/26/2024,7/18/2024,7819 Fallview Park,98,56,Discontinued
50-364-5828,Coconut,Fruits & Vegetables,17-239-6309,Mydo,89,57,92,$5.00 ,8/15/2024,6/14/2024,12/23/2024,772 Golf Course Junction,38,16,Active
61-827-4098,Cod,Seafood,34-850-0377,Devbug,23,42,87,$8.00 ,2/1/2025,7/15/2024,3/24/2024,29992 Warrior Center,63,5,Backordered
87-698-0944,Banana,Fruits & Vegetables,73-717-0190,Vinder,56,12,59,$98.43 ,9/17/2024,8/27/2024,2/2/2025,8 Heffernan Point,35,16,Active
98-556-5323,Pomegranate,Fruits & Vegetables,21-490-8051,Dynabox,60,61,2,$6.00 ,5/13/2024,8/12/2024,8/27/2024,005 Tomscot Hill,96,50,Active
97-772-2336,Pineapple,Fruits & Vegetables,19-704-4404,Rooxo,70,30,69,$3.50 ,8/13/2024,2/3/2025,7/14/2024,9 Bartillon Trail,44,42,Discontinued
19-047-4239,Peach,Fruits & Vegetables,11-146-9880,Quire,47,72,73,$4.00 ,5/21/2024,3/30/2024,4/30/2024,7 West Street,93,27,Backordered
15-907-3681,Plum,Fruits & Vegetables,72-931-9828,Brainsphere,20,42,21,$3.85 ,11/28/2024,1/27/2025,2/20/2025,21633 Sycamore Center,61,25,Discontinued
44-552-3909,Pear,Fruits & Vegetables,80-863-1186,Riffwire,61,50,9,$4.50 ,10/8/2024,2/26/2024,1/19/2025,6 Charing Cross Circle,24,92,Active
74-587-2065,Pear,Fruits & Vegetables,33-141-1402,Gigaclub,29,20,85,$4.50 ,10/27/2024,2/20/2025,3/2/2024,84642 Clarendon Point,31,31,Active
70-149-6756,Heavy Cream,Dairy,97-150-9199,Skynoodle,14,99,97,$4.20 ,4/21/2024,1/6/2025,6/26/2024,6 Messerschmidt Place,28,45,Discontinued
57-613-5779,Gouda Cheese,Dairy,29-009-9132,Thoughtblab,100,21,64,$7.00 ,6/19/2024,3/11/2024,8/29/2024,6 John Wall Plaza,20,13,Backordered
28-956-1320,Greek Yogurt,Dairy,01-445-8931,Thoughtblab,62,2,98,$3.00 ,5/23/2024,10/18/2024,9/5/2024,95 Onsgard Way,50,11,Discontinued
87-791-5803,Tuna,Seafood,89-843-0880,Meemm,25,44,96,$18.00 ,7/4/2024,3/9/2024,9/1/2024,8 Fremont Circle,36,16,Active
14-521-4167,Buttermilk,Dairy,68-609-1972,Vinder,47,2,76,$2.50 ,5/13/2024,6/29/2024,3/6/2024,00847 Reindahl Place,48,36,Discontinued
51-572-5497,Orange,Fruits & Vegetables,43-035-3382,Kanoodle,15,44,88,$3.00 ,8/31/2024,2/13/2025,4/28/2024,9516 Burrows Circle,56,12,Discontinued
28-840-6096,Pomegranate,Fruits & Vegetables,15-444-8224,Flipopia,19,65,48,$6.00 ,9/9/2024,2/14/2025,9/12/2024,92655 Pond Park,59,53,Discontinued
44-538-3366,Tuna,Seafood,33-898-6242,Realbridge,58,77,96,$18.00 ,9/11/2024,4/17/2024,3/30/2024,46 Cardinal Way,25,17,Discontinued
51-459-5630,Sour Cream,Dairy,29-567-3732,Skyvu,11,30,4,$4.00 ,8/2/2024,9/29/2024,12/14/2024,805 Center Parkway,84,4,Active
96-316-7600,Bell Pepper,Fruits & Vegetables,76-671-7104,Linklinks,70,31,55,$4.50 ,7/31/2024,7/27/2024,7/7/2024,6 Swallow Crossing,23,80,Discontinued
58-063-8633,Bell Pepper,Fruits & Vegetables,21-932-5200,Skimia,50,3,88,$4.50 ,7/21/2024,6/30/2024,9/22/2024,33424 Express Avenue,69,73,Discontinued
43-703-9939,Pineapple,Fruits & Vegetables,69-928-4929,Bubblemix,55,91,35,$3.50 ,5/8/2024,5/22/2024,2/17/2025,4 Sundown Place,81,19,Active
88-069-5486,Cod,Seafood,95-878-1614,Buzzshare,31,87,19,$8.00 ,5/23/2024,7/13/2024,5/1/2024,01330 Sheridan Way,41,10,Active
81-605-6246,Sardines,Seafood,62-086-0407,Shufflester,73,31,49,$6.00 ,1/26/2025,3/2/2024,3/6/2024,65721 Caliangt Crossing,22,47,Discontinued
27-262-2437,Swiss Cheese,Dairy,05-181-2682,Skidoo,80,9,29,$8.10 ,8/26/2024,11/20/2024,10/9/2024,739 Swallow Road,54,62,Active
39-479-5147,Tuna,Seafood,02-156-7270,Meedoo,92,68,79,$18.00 ,12/24/2024,8/18/2024,4/4/2024,14 Talmadge Park,40,57,Discontinued
71-085-4290,Cucumber,Fruits & Vegetables,26-593-3478,Eire,31,98,72,$1.80 ,8/26/2024,10/7/2024,12/4/2024,2 Basil Street,91,29,Active
48-957-6116,Eggplant,Fruits & Vegetables,34-334-6888,Topicstorm,31,44,9,$3.00 ,5/30/2024,5/16/2024,8/5/2024,938 Hanover Point,46,9,Discontinued
83-917-7384,Garlic,Fruits & Vegetables,84-923-5086,Tavu,76,97,20,$7.00 ,3/27/2024,8/24/2024,5/11/2024,3 Ilene Terrace,52,82,Discontinued
03-149-9760,Whipped Cream,Dairy,08-141-2402,Yotz,92,99,93,$4.00 ,2/19/2025,7/13/2024,3/26/2024,554 Eliot Point,43,90,Discontinued
53-680-5293,Cheddar Cheese,Dairy,47-732-4446,Demizz,88,74,97,$9.00 ,5/28/2024,5/31/2024,8/24/2024,97687 Mendota Terrace,79,5,Active
49-861-7823,Coconut,Fruits & Vegetables,22-152-0111,Skippad,99,8,27,$5.00 ,7/16/2024,7/13/2024,8/10/2024,26 Graceland Circle,41,50,Discontinued
24-364-3341,Egg (Turkey),Dairy,13-290-8513,Topiclounge,44,84,63,$2.50 ,7/29/2024,4/11/2024,9/25/2024,120 Gale Circle,51,67,Discontinued
53-446-8243,Orange,Fruits & Vegetables,51-666-7174,Skipfire,41,94,4,$3.00 ,2/4/2025,7/26/2024,4/23/2024,757 Grasskamp Drive,88,92,Discontinued
98-235-2711,Asparagus,Fruits & Vegetables,23-052-4744,Devpoint,22,40,7,$5.00 ,9/12/2024,12/31/2024,1/26/2025,5 Transport Pass,98,60,Active
97-040-3822,Swiss Cheese,Dairy,78-459-1417,Gevee,50,99,73,$8.00 ,5/12/2024,8/23/2024,5/17/2024,42 Clemons Terrace,42,1,Backordered
10-002-6494,Mango,Fruits & Vegetables,47-509-7282,Meevee,89,92,62,$4.80 ,3/2/2024,7/8/2024,11/11/2024,48 Vahlen Place,46,11,Backordered
12-998-3882,Egg (Turkey),Dairy,06-151-9076,Bluezoom,76,54,76,$2.50 ,10/1/2024,8/17/2024,5/26/2024,94862 Beilfuss Terrace,69,27,Backordered
34-075-0371,Watermelon,Fruits & Vegetables,32-771-2617,Latz,75,10,68,$3.00 ,9/11/2024,1/10/2025,12/3/2024,0039 Shelley Place,90,42,Active
46-931-6897,Cream,Dairy,22-946-8052,Meevee,29,32,26,$2.50 ,9/21/2024,6/15/2024,9/15/2024,44 Kensington Road,64,85,Discontinued
47-578-4161,Anchovies,Seafood,96-001-5429,Jaxspan,88,56,81,$10.00 ,5/10/2024,3/10/2024,9/14/2024,5 Forest Run Way,98,86,Discontinued
18-199-5799,Cheddar Cheese,Dairy,76-870-2139,Jayo,40,81,40,$9.00 ,10/9/2024,4/28/2024,10/30/2024,87784 Blaine Way,40,48,Backordered
01-144-5960,Trout,Seafood,80-848-7493,Zazio,75,25,99,$12.00 ,10/20/2024,5/29/2024,7/13/2024,52105 Mandrake Place,89,42,Active
96-774-0457,Cod,Seafood,71-991-5737,Izio,56,50,80,$8.00 ,2/24/2025,3/12/2024,10/22/2024,7369 Thackeray Drive,99,5,Discontinued
98-064-4465,Mozzarella Cheese,Dairy,93-719-9817,Feedfire,96,38,17,$7.00 ,4/19/2024,10/1/2024,11/11/2024,109 Twin Pines Avenue,72,84,Active
18-278-2383,Gouda Cheese,Dairy,73-210-4267,Skimia,97,77,13,$7.00 ,11/11/2024,9/15/2024,7/2/2024,96 American Center,43,40,Backordered
63-822-5278,Pomegranate,Fruits & Vegetables,27-636-1606,Kamba,14,66,1,$6.00 ,8/13/2024,12/13/2024,2/27/2024,5900 Vahlen Avenue,86,15,Backordered
47-554-5780,Haddock,Seafood,62-979-5038,Babbleopia,93,62,65,$9.00 ,6/9/2024,6/22/2024,4/17/2024,1 Westport Crossing,78,87,Active
51-462-0747,Lime,Fruits & Vegetables,40-417-9838,Vinder,21,30,32,$2.00 ,1/22/2025,2/7/2025,3/10/2024,453 Dryden Park,43,54,Backordered
90-492-0564,Pomegranate,Fruits & Vegetables,18-085-1667,Shuffledrive,92,96,56,$6.00 ,11/18/2024,6/25/2024,7/20/2024,54 Pawling Crossing,32,22,Discontinued
38-822-8005,Cucumber,Fruits & Vegetables,45-886-1540,Innojam,47,20,65,$1.75 ,1/19/2025,1/12/2025,3/31/2024,6 Stang Hill,49,19,Backordered
60-285-3783,Mushrooms,Fruits & Vegetables,58-827-9061,Youfeed,51,62,95,$6.00 ,4/7/2024,3/28/2024,1/15/2025,37973 Parkside Junction,52,21,Active
00-215-7434,Egg (Goose),Dairy,85-272-3969,Quatz,14,63,74,$2.50 ,4/28/2024,2/19/2025,11/28/2024,389 Ridgeway Park,59,63,Backordered
68-734-1585,Greek Yogurt,Fruits & Vegetables,54-537-5633,Meeveo,62,44,11,$51.17 ,1/8/2025,4/16/2024,7/13/2024,3 Hagan Drive,92,37,Discontinued
08-703-1382,Peach,Fruits & Vegetables,29-975-3449,Wikizz,40,53,7,$4.00 ,2/21/2025,3/6/2024,6/21/2024,082 Clove Plaza,70,20,Backordered
87-675-1506,Strawberries,Fruits & Vegetables,21-697-8128,Skalith,31,89,7,$5.90 ,8/26/2024,12/7/2024,5/21/2024,60241 Portage Point,46,54,Discontinued
67-027-7269,Mushrooms,Fruits & Vegetables,50-050-5707,Twitterbeat,35,19,30,$6.50 ,1/6/2025,11/30/2024,11/9/2024,615 Mayer Drive,88,6,Backordered
72-066-4597,Broccoli,Fruits & Vegetables,97-994-0773,Zoovu,31,54,52,$4.00 ,2/20/2025,12/8/2024,12/13/2024,03 Fisk Alley,69,77,Active
09-286-8107,Greek Yogurt,Dairy,90-727-4816,Skyndu,90,62,54,$3.00 ,1/20/2025,9/7/2024,12/15/2024,75 Bunting Junction,70,83,Discontinued
15-762-1058,Lime,Fruits & Vegetables,32-914-1424,Tazz,29,83,91,$2.00 ,11/29/2024,2/7/2025,1/4/2025,083 Mccormick Park,81,53,Backordered
01-173-0029,Blueberries,Fruits & Vegetables,18-880-7910,DabZ,42,4,53,$10.00 ,1/10/2025,7/5/2024,4/12/2024,8 Dakota Avenue,37,53,Active
79-400-6216,Mozzarella Cheese,Dairy,83-361-7509,Devpoint,16,56,13,$7.20 ,2/10/2025,3/10/2024,10/2/2024,4 Warbler Center,56,28,Discontinued
80-072-8774,Tuna,Seafood,61-222-8413,Viva,89,95,41,$18.00 ,9/24/2024,7/6/2024,10/15/2024,239 Anderson Court,76,96,Discontinued
46-753-8430,Feta Cheese,Dairy,35-042-9391,Rhynyx,98,77,7,$7.00 ,10/2/2024,11/19/2024,8/5/2024,60356 Derek Lane,92,29,Discontinued
48-461-3742,Kiwi,Fruits & Vegetables,78-381-5054,Zooveo,37,8,50,$6.00 ,7/6/2024,5/17/2024,1/23/2025,42719 Milwaukee Avenue,47,62,Discontinued
44-476-0390,Lemon,Fruits & Vegetables,48-562-3582,Flashspan,90,92,56,$2.50 ,7/28/2024,4/27/2024,3/14/2024,022 Pierstorff Point,71,13,Active
94-029-2717,Broccoli,Fruits & Vegetables,37-878-9392,Jetpulse,40,8,98,$4.00 ,7/26/2024,2/6/2025,6/9/2024,071 Nobel Circle,86,12,Discontinued
49-526-7806,Kale,Fruits & Vegetables,66-973-4855,Yodoo,77,52,28,$4.00 ,12/19/2024,11/19/2024,5/1/2024,6744 Helena Pass,48,43,Active
32-933-0329,Blueberries,Fruits & Vegetables,86-760-5412,Linklinks,23,38,54,$10.00 ,1/17/2025,7/14/2024,4/15/2024,57150 Del Sol Alley,40,15,Active
85-440-3667,Gouda Cheese,Dairy,00-680-5333,Kamba,68,29,31,$7.00 ,8/6/2024,6/3/2024,9/9/2024,6151 Forster Drive,53,20,Backordered
99-561-4871,Haddock,Seafood,04-786-5408,Buzzdog,17,38,93,$9.00 ,2/14/2025,8/20/2024,7/28/2024,952 Rowland Junction,100,63,Active
61-607-7622,Egg (Duck),Dairy,77-175-2969,Zoonoodle,23,38,25,$1.00 ,5/13/2024,2/21/2025,1/15/2025,329 Helena Park,84,78,Discontinued
11-745-3025,Peach,Fruits & Vegetables,54-711-1582,Oyoloo,15,27,21,$4.00 ,6/11/2024,2/21/2025,9/3/2024,3104 Ridge Oak Hill,37,67,Backordered
56-810-0550,Mackerel,Seafood,94-145-9423,Janyx,71,7,6,$7.50 ,8/29/2024,12/2/2024,9/4/2024,376 Reinke Court,52,68,Backordered
59-075-2457,Egg (Goose),Dairy,18-733-2453,Dynava,97,26,15,$2.50 ,8/21/2024,2/3/2025,11/10/2024,2 Barby Lane,33,58,Discontinued
40-021-2400,Zucchini,Fruits & Vegetables,62-648-2577,Katz,29,18,86,$2.50 ,10/24/2024,11/16/2024,5/11/2024,265 Columbus Way,53,69,Active
29-017-6255,Bell Pepper,Fruits & Vegetables,43-348-2450,Eimbee,46,64,17,$4.60 ,3/1/2024,1/6/2025,1/31/2025,20 Pennsylvania Parkway,96,55,Discontinued
92-291-7089,Cheese,Dairy,08-523-5066,Jaxspan,76,15,99,$9.50 ,2/1/2025,7/26/2024,5/6/2024,9307 Kingsford Road,60,49,Discontinued
69-287-9113,Zucchini,Fruits & Vegetables,20-952-0731,Jaxspan,59,91,24,$2.50 ,10/27/2024,6/29/2024,12/16/2024,11 Golden Leaf Alley,54,87,Active
76-540-6407,Orange,Fruits & Vegetables,78-644-5877,Demimbu,92,54,73,$3.10 ,2/7/2025,1/17/2025,12/13/2024,77 Prairie Rose Park,79,1,Backordered
85-561-4694,Kiwi,Fruits & Vegetables,57-486-8971,Tazz,28,27,22,$6.00 ,5/15/2024,8/15/2024,5/11/2024,1 Lake View Trail,70,30,Discontinued
34-928-2775,Coconut,Fruits & Vegetables,07-959-3210,Browseblab,19,47,25,$5.00 ,12/18/2024,2/24/2025,1/28/2025,7945 Mayer Center,96,37,Discontinued
90-773-9557,Butter,Dairy,02-165-5779,Npath,85,28,21,$3.00 ,8/20/2024,6/30/2024,6/12/2024,904 Del Mar Crossing,45,89,Active
28-008-2951,Broccoli,Fruits & Vegetables,64-118-1480,Buzzster,95,29,28,$4.00 ,7/20/2024,1/16/2025,5/20/2024,26 Barnett Junction,52,46,Discontinued
19-214-5762,Pear,Fruits & Vegetables,88-108-3774,Gigashots,41,52,75,$4.50 ,4/6/2024,4/24/2024,10/13/2024,7 Bonner Terrace,57,62,Backordered
